
latitude, longitude, id, name, property site, property number, price, google sheet,category,

51.701921995634855, -4.092073691427992, 511, "House 511", onthemarket, 17428118, 269995,,discounted,
52.09614059616301, -4.279652299201133, 512, "House 512", onthemarket, 14010801, 320000,,,
51.912765271208926, -4.39923943720841, 513, "House 513", onthemarket, 15870539, 349000,,,
51.57639995964139, -3.4830036775444544, 514, "House 514", onthemarket, 17513144, 400000,,discounted,
51.91805109726702, -4.09355318755481, 515, "House 515", onthemarket, 2861114, 425000,,,
51.992641192566964, -3.7779640349752173, 516, "House 516", onthemarket, 16934516, 425000,,,
52.05917794959933, -4.191299892543124, 517, "House 517", onthemarket, 15834228, 425000,,,
52.0781523142941, -4.220665367413851, 518, "House 518", onthemarket, 17489790, 425000,,,
52.02720640840359, -4.378042370191489, 519, "House 519", onthemarket, 17471287, 425000,,,
52.000192998533706, -4.4811073211646635, 520, "House 520", onthemarket, 16985291, 375000,,,
51.8678667190761, -4.063254836058132, 521, "House 521", onthemarket, 16534288, 395000,,discounted,
51.950804267163, -4.149296461132151, 522, "House 522", onthemarket, 17042374, 385000,,,
51.79405963038363, -4.249004567485761, 523, "House 523", onthemarket, 15890603, 375000, "d/19RpOxP2jylORGB6rA4YUSgtWfmueeDkXW3Xb9p2YE_g/edit?usp=drive_link",
52.05778831093568, -3.714915841931419, 524, "House 524", onthemarket, 16648825, 419500,,,
51.94373706264937, -4.266410753100005, 525, "House 525", onthemarket, 15211033, 425000,,,
51.80327875391962, -3.8982440135233887, 526, "House 526", onthemarket, 16534267, 395000, "d/1ytQd08ZkacZQqwEE1016TGoIiWbvp7KBC4-c5nkt23g/edit?usp=drive_link",
52.024308983910956, -4.358069761923922, 528, "House 528", onthemarket, 16368580, 360000,,,
51.95909881115462, -4.083924332753998, 529, "House 529", onthemarket, 16534287, 365000,,,
51.568153745140854, -3.5396958166303856, 530, "House 530", onthemarket, 13008856, 400000,,discounted,
52.08671394727089, -4.273930049370366, 531, "House 531", onthemarket, 14321581, 425000,,,
51.88272801721337, -4.413341015843397, 532, "House 532", onthemarket, 16291128, 360000,,,
52.05429114389887, -4.362864625742171, 533, "House 533", onthemarket, 14149386, 405000,,,
51.848464952274675, -4.508602181372089, 534, "House 534", onthemarket, 12907972, 425000,,,

51.744466,-4.186655, 535, "House 535", onthemarket, 16934436, 350000,,,

51.776416534548005, -4.175718015767579, 527, "House 527", rightmove, 163272890, 375000, "d/1Lq6Tm8KmApTQSZWtlbOIhDbUKZe9fPIbOTKa2wv8B98/edit?usp=drive_link",,


52.11015044012139, -4.531445719143805, 1, "House 1", rightmove, 165589751, 350000,,,
51.56254386942959, -3.6001364705772065, 7, "House 7", rightmove, 165342695, 350000,,discounted,
51.59588911000444, -3.4697224845820576, 12, "House 12", rightmove, 162652535, 1000,,discounted,
51.697615655857014, -3.3088707219981193, 14, "House 14", rightmove, 157684385, 1000,,discounted,
51.79457527993951, -4.2119543344677695, 20, "House 20", rightmove, 86921724, 1000, "d/1I4S647Iqs25WjJn_G4PqUOnf_4VoidlGAxbYcVDDo5Q/edit?usp=drive_link",

52.07847489323725, -4.538276964750448, 21, "House 21", rightmove, 163311008, 325000,,,
51.70584008010304, -3.972230416807829, 22, "House 22", rightmove, 165408818, 350000,,discounted,
51.94085986965677, -4.329923551830048, 23, "House 23", rightmove, 159990821, 400000,,,
52.065175617336344, -4.2008419675976665, 24, "House 24", rightmove, 160549160, 334950,,,
51.8753586569513, -3.8472196323869894, 25, "House 25", rightmove, 165590285, 385000,,,
52.02366847433492, -4.341505419798802, 26, "House 27", rightmove, 151112390, 375000,,,
51.888527075163864, -4.65114700830768, 28, "House 28", rightmove, 150754898, 419950,,,
52.21057901095009, -4.1867296820794815, 29, "House 29", rightmove, 142980014, 315000,,,
52.09097464880054, -4.183337904602984, 30, "House 30", rightmove, 162002363, 200000,,,
52.14291325857941, -4.099296989087103, 31, "House 31", rightmove, 159515348, 200000,,,
51.728762214436514, -4.714875790195847, 32, "House 32", rightmove, 162675053, 200000,,,
51.93722007180764, -4.10368998725059, 33, "House 33", rightmove, 159954803, 425000,,,
51.99705936366296, -3.981224994945406, 34, "House 34", rightmove, 87092433, 280000,,,
52.024596408841504, -4.405071642998063, 35, "House 35", rightmove, 159437807, 385000,,,
51.998092161534125, -4.493922653763471, 36, "House 36", rightmove, 165340523, 369950,,,

51.79823650465834, -5.023433890718931, 37, "House 37", rightmove, 165564884, 350000,,,
51.957098927640985, -4.61456970768898, 38, "House 38", rightmove, 165765677, 370000,,,



51.94376120659075, -4.266418990719622, 601, "House 601", zoopla, 67837398, 425000,,,
52.01505831841527, -4.420821053538466, 602, "House 602", zoopla, 70989132, 325000,,,
52.004657, -3.787295, 603, "House 603", zoopla, 70324880, 382500,,,
52.059616, -4.509261, 604, "House 604", zoopla, 68500406, 325000,,,
52.03503504708855, -4.210720196427847, 605, "House 605", zoopla, 69126741, 300000,,,
51.949793,-4.149943, 606, "House 606", zoopla, 70126747, 385000,,,
52.046884576923325, -4.436546202931116, 607, "House 607", zoopla, 70550848, 425000,,,
