id,name,priority
1,"Broadband & data",1
2,"Detached",1
3,"3 bedrooms",1
4,"Kitchen",1
5,"Lounge (separate from kitchen)",1
6,"Utility Room (to bring in muddy dogs)",1
7,"Hobby Room",1
8,"Office",1
9,"Garage",1
10,"Workshop",1
11,"Reading Room",1
12,"Music Room",1
13,"Exercise Room",1
14,"Not too near River or coast (flooding)",1
15,"Large Garden",1
16,"Dog walking area",1
17,"room for fish tanks",1
18,"running routes",1
19,"cycling routes",1
20,"in quiet village",1
21,"on quiet road",1
22,"Quiet location",1
23,"Conservatory",5
24,"Greenhouse",5
25,"Workshop",5
26,"Top of hill / views",5
27,"Leisure Centre / Swimming Pool",5
28,"Running / Triathlon clubs",5
29,"Jigsaws",5
30,"Sewing",5
31,"Model Making",5
32,"Reading / Music",5
33,"Motorbike servicing",5
34,"Woodwork",5
